,Date,G#,Age,Tm,Away,Opp,Att,Rush_YDS,Y/A,Rush_TD,Tgt,Rec,Rec_YDS,Y/R,Rec_TD,Ctch%,Y/Tgt,Snap_Pct,Snaps,Name,Position,Season,DKPt
215,2020-11-01,7.0,25.18,PIT,1,BAL,15.0,47.0,3.13,1.0,3.0,3.0,13.0,4.33,0.0,100.0%,4.33,58%,31.0,James Conner,RB,2020,15.0
216,2020-11-08,8.0,25.186999999999998,PIT,1,DAL,9.0,22.0,2.44,0.0,2.0,2.0,-2.0,-1.0,0.0,100.0%,-1.0,46%,32.0,James Conner,RB,2020,4.0
217,2020-11-15,9.0,25.194000000000003,PIT,0,CIN,13.0,36.0,2.77,0.0,2.0,2.0,12.0,6.0,0.0,100.0%,6.0,88%,64.0,James Conner,RB,2020,6.8
218,2020-11-22,10.0,25.201,PIT,1,JAX,13.0,89.0,6.85,0.0,3.0,3.0,10.0,3.33,0.0,100.0%,3.33,68%,52.0,James Conner,RB,2020,12.9
219,2020-09-13,1.0,23.025,LAR,0,DAL,3.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,0.0,7%,5.0,Darrell Henderson,RB,2020,0.6
220,2020-09-20,2.0,23.031999999999996,LAR,1,PHI,12.0,81.0,6.75,1.0,3.0,2.0,40.0,20.0,0.0,66.7%,13.33,42%,29.0,Darrell Henderson,RB,2020,20.1
221,2020-09-27,3.0,23.039,LAR,1,BUF,20.0,114.0,5.7,1.0,3.0,1.0,6.0,6.0,0.0,33.3%,2.0,49%,34.0,Darrell Henderson,RB,2020,22.0
222,2020-10-04,4.0,23.046,LAR,0,NYG,8.0,21.0,2.63,0.0,1.0,1.0,16.0,16.0,0.0,100.0%,16.0,39%,22.0,Darrell Henderson,RB,2020,4.7
223,2020-10-11,5.0,23.053,LAR,1,WAS,15.0,38.0,2.53,1.0,4.0,3.0,30.0,10.0,1.0,75.0%,7.5,43%,29.0,Darrell Henderson,RB,2020,21.8
224,2020-10-18,6.0,23.06,LAR,1,SFO,14.0,88.0,6.29,0.0,0.0,0.0,4.0,0.0,0.0,0.0%,0.0,53%,32.0,Darrell Henderson,RB,2020,9.2
225,2020-10-26,7.0,23.068,LAR,0,CHI,15.0,63.0,4.2,0.0,2.0,2.0,13.0,6.5,0.0,100.0%,6.5,56%,40.0,Darrell Henderson,RB,2020,9.6
226,2020-11-01,8.0,23.074,LAR,1,MIA,8.0,47.0,5.88,0.0,2.0,1.0,11.0,11.0,0.0,50.0%,5.5,19%,18.0,Darrell Henderson,RB,2020,6.8
227,2020-11-15,9.0,23.088,LAR,0,SEA,7.0,28.0,4.0,1.0,1.0,1.0,5.0,5.0,0.0,100.0%,5.0,33%,23.0,Darrell Henderson,RB,2020,10.3
228,2020-11-23,10.0,23.096,LAR,1,TAM,8.0,5.0,0.63,0.0,3.0,2.0,4.0,2.0,0.0,66.7%,1.33,46%,33.0,Darrell Henderson,RB,2020,2.9
229,2020-11-29,11.0,23.101999999999997,LAR,0,SFO,10.0,19.0,1.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0%,0.0,32%,20.0,Darrell Henderson,RB,2020,1.9
